symbol,amount,price,buy_or_sell,date,id
EUR.HKD,-6000.0,9.05428,SELL,2021-11-02,230419674
EUR.HKD,673.0,9.02045,BUY,2021-11-04,233218291
EUR.HKD,0.2332,8.99185,BUY,2021-11-09,237116620
EUR.PLN,-2721.0,4.58959,SELL,2022-01-03,302631838
EUR.SGD,-3995.0,1.5675,SELL,2021-11-02,230421866
EUR.SGD,2050.0,1.5315,BUY,2022-01-03,302631266
EUR.USD,0.1236,1.13305,BUY,2021-12-21,288789030
EUR.HKD,48150.0,0.1107,BUY,2021-11-03,231506748
EUR.PLN,1249.2,0.21744,BUY,2021-12-07,272314639
EUR.PLN,1165.92,0.21744,BUY,2021-12-07,272314628
EUR.PLN,2040.3600000000001,0.21744,BUY,2021-12-07,272314647
EUR.PLN,3581.04,0.21744,BUY,2021-12-07,272314654
EUR.PLN,999.36,0.21744,BUY,2021-12-07,272314744
EUR.PLN,1707.24,0.21744,BUY,2021-12-07,272314690
EUR.PLN,1748.88,0.21744,BUY,2021-12-07,272314746
EUR.SGD,3060.0,0.63933,BUY,2021-11-03,231486914
EUR.SGD,-3104.9999999999995,0.65004,SELL,2021-11-17,246451681
EUR.SGD,3350.0,0.65168,BUY,2021-11-19,249680202
EUR.SGD,3025.0000000000005,0.64441,BUY,2021-11-30,261315270
EUR.SGD,-609.0,0.64691,SELL,2021-12-03,267423025
EUR.SGD,-319.0,0.64691,SELL,2021-12-03,267424577
EUR.SGD,-57.99999999999999,0.64691,SELL,2021-12-03,267425941
EUR.SGD,-28.999999999999996,0.64691,SELL,2021-12-03,267426893
EUR.SGD,-434.99999999999994,0.64691,SELL,2021-12-03,267426899
EUR.SGD,-1475.0,0.64728,SELL,2021-12-08,273696045
